(5, 35.4, 1.832704982161522)
(6, 29.75, 2.040103426575661)
(7, 35.29, 1.8934194594621658)
(8, 41.58, 1.457873710989952)
(9, 46.17, 1.5819952666759491)
(10, 42.6, 3.994200122356415)
(11, 47.620000000000005, 1.6625334948301316)
(12, 57.620000000000005, 1.2066962778568269)
(13, 59.809999999999995, 1.1790513873100281)
(14, 65.75999999999999, 1.0838331505656242)
(15, 62.5, 1.221451960504055)
(16, 51.25999999999999, 1.835825762152672)
(17, 67.53, 1.0656427085399627)
(18, 68.14, 1.0579172506928445)
(19, 70.63000000000001, 1.0106901191174984)
(20, 70.82000000000001, 1.1268037915229798)
(21, 72.42, 1.012768106162548)
(22, 71.27, 1.108263197541237)
(23, 71.94, 1.1635556384921073)
(24, 72.1, 1.150333248078823)
(25, 72.02, 1.1885360196232795)
(1001, 73.46000000000001, 1.6707714930176736)
(2001, 73.61, 1.7693573206663131)
(3001, 73.64, 1.7584646791219711)
(4001, 73.68, 1.8394715398550034)
(5001, 73.69, 1.8472443044185638)
(6001, 73.74000000000001, 1.8406930640339851)
(7001, 73.76, 1.8604768574237824)
(8001, 73.8, 1.854663648456335)
(9001, 73.83, 1.9362848311662675)
(10001, 73.85000000000001, 1.9077730119228362)
(11001, 73.87, 1.9073868274688721)
(12001, 73.85000000000001, 1.9406244665384293)
(13001, 73.87, 1.916085147857666)
(14001, 73.87, 1.939622977375984)
(15001, 73.88, 1.9558612883090973)
(16001, 73.89, 1.9596967846155167)
(17001, 73.92999999999999, 1.9844178140163422)
(18001, 73.94, 1.9843542158603669)
(19001, 73.96000000000001, 1.9630137622356414)
(20001, 73.98, 1.956945186853409)
(21001, 73.99, 2.0308914840221406)
(22001, 74.0, 2.0074736386537553)
(23001, 73.99, 1.993033793568611)
(24000, 74.0, 2.040062791109085)
(1, 17.71, 2.2055684328079224)
(2, 18.86, 2.191218599677086)
(3, 34.89, 1.8504682689905168)
(4, 35.86, 1.727446621656418)
(5, 52.71, 1.6646264374256134)
(6, 39.519999999999996, 1.654567965865135)
(7, 54.49, 1.417773187160492)
(8, 51.85999999999999, 1.2205912366509437)
(9, 56.99999999999999, 1.2400042235851287)
(10, 56.989999999999995, 1.4289937347173691)
(11, 50.260000000000005, 1.4491829127073288)
(12, 39.739999999999995, 1.6149543434381486)
(13, 55.08, 1.4704823404550553)
(14, 48.89, 1.665912526845932)
(15, 64.75, 1.3270750403404237)
(16, 55.510000000000005, 1.5582187354564667)
(17, 64.35, 1.2027941465377807)
(18, 66.39, 0.9282313466072083)
(19, 71.77, 0.9055863410234452)
(20, 60.36, 1.734897145628929)
(21, 66.84, 1.1051159083843232)
(22, 68.8, 1.1610102221369742)
(23, 73.64, 1.0461238518357276)
(24, 74.21, 1.0473473906517028)
(25, 74.35000000000001, 1.0517786756157874)
(1001, 75.36, 1.5183601379394531)
(2001, 75.42, 1.5525703758001328)
(3001, 75.53, 1.6343246877193451)
(4001, 75.55, 1.6619168758392333)
(5001, 75.61, 1.6581518277525902)
(6001, 75.63, 1.6864592492580415)
(7001, 75.64999999999999, 1.6734665781259537)
(8001, 75.67, 1.7055260241031647)
(9001, 75.68, 1.6825763955712318)
(10001, 75.7, 1.749676188826561)
(11001, 75.69, 1.6961557855829597)
(12001, 75.7, 1.758450096845627)
(13001, 75.71, 1.7699662894010544)
(14001, 75.71, 1.7680825352668763)
(15001, 75.75, 1.7471707463264465)
(16001, 75.74, 1.7900016278028488)
(17001, 75.72, 1.7448237091302872)
(18001, 75.75, 1.79023839533329)
(19001, 75.76, 1.8250710606575011)
(20001, 75.76, 1.7891506254673004)
(21001, 75.76, 1.8213689178228378)
(22001, 75.75, 1.7987904369831085)
(23001, 75.76, 1.81423821747303)
(24000, 75.78, 1.7907175868749619)
(1, 23.98, 2.15743283033371)
(2, 26.85, 2.2657906651496886)
(3, 16.259999999999998, 2.171735590696335)
(4, 32.85, 2.0231250435113908)
(5, 32.87, 1.9817453801631928)
(6, 32.519999999999996, 2.1014124184846876)
(7, 47.199999999999996, 1.601745319366455)
(8, 35.43, 1.7470393478870392)
(9, 42.85, 1.6145072758197785)
(10, 44.269999999999996, 1.9127859979867936)
(11, 53.92, 1.331378772854805)
(12, 54.669999999999995, 1.3287020474672318)
(13, 36.8, 2.5675189077854155)
(14, 49.3, 1.7020706355571746)
(15, 49.65, 1.5445296883583068)
(16, 63.38, 1.4140537708997727)
(17, 53.949999999999996, 2.1127182587981226)
(18, 56.47, 1.4764630138874053)
(19, 63.0, 1.3062826991081238)
(20, 61.14000000000001, 1.1903458833694458)
(21, 62.260000000000005, 1.5250450789928436)
